city,lng,lat,temp,hum,cld,wnd
dallas,-96.7836,32.7668,67.8,72,1,8.05
jintur,76.7,19.6167,100.35,11,76,6.93
atoka,-96.0169,34.4001,66.0,74,4,1.01
tokur,132.9,53.1333,46.2,41,98,8.43
krasnokamsk,55.7541,58.0802,41.0,70,75,20.13
torring,9.4833,55.85,35.91,86,18,0.87
gloversville,-74.3438,43.0528,37.78,80,90,16.11
maya,124.0579,11.2743,82.72,70,15,10.54
sungurlu,34.3739,40.1675,53.87,70,67,2.68
mirosov,13.6581,49.6878,35.76,77,67,11.01
banyo,11.8167,6.75,69.85,77,67,1.48
abeokuta,3.35,7.15,78.8,94,20,2.3
babocsa,17.3433,46.0416,44.6,57,0,5.75
villahermosa,-92.9167,17.9833,77.18,89,16,0.07
birakan,131.7,49.0167,57.96,21,97,4.88
queluz,-9.2545,38.7566,57.16,94,75,8.05
rio pardo de minas,-42.5397,-15.6097,69.76,67,81,2.08
akot,77.0586,21.0964,103.51,8,88,7.78
khotkovo,37.9954,56.257,39.2,65,0,17.9
owak,123.7,10.55,84.2,74,75,9.22
wettingen,8.3164,47.4705,42.67,56,0,6.91
lehi,-111.8508,40.3916,47.84,71,100,7.0
madgaon,73.95,15.3,89.6,66,20,6.91
mamedkala,48.1199,42.1677,59.02,67,95,6.49
mookane,26.6595,-23.688,64.06,21,0,1.41
katyr-yurt,45.3711,43.1701,57.2,77,40,8.95
khimki,37.4375,55.9017,38.44,65,0,17.9
volgograd,44.5018,48.7194,48.11,53,0,11.18
araci,-38.9667,-11.3333,70.18,98,92,4.14
nasturelu,25.4667,43.6667,51.66,71,5,3.44
donceel,5.32,50.6483,36.37,86,0,4.61
castle rock,-104.8561,39.3722,54.36,28,1,4.0
kolkwitz,14.25,51.75,36.9,69,3,4.99
magole,37.3667,-6.3667,73.4,94,75,2.55
stalpu,26.7167,45.0833,53.01,72,13,1.01
lakhtar,71.7833,22.85,100.02,20,0,11.7
el salto,-104.5,20.3333,66.0,51,53,5.01
beresti-sat,27.8833,46.1,42.71,83,76,10.96
ambatondrazaka,48.4167,-17.8333,71.17,79,100,5.79
dobrin,23.1333,47.2833,40.32,87,20,13.8
keetmanshoop,18.1333,-26.5833,66.2,37,0,6.91
dobrosloveni,24.3667,44.1833,44.6,81,0,6.91
los boquerones,-80.85,8.0833,76.78,78,85,1.41
langelsheim,10.3333,51.9333,36.3,55,15,0.47
standish,-83.9589,43.9831,34.29,74,90,3.44
lugasu de jos,22.35,47.0667,42.91,61,0,8.05
banikoara,2.4386,11.2985,81.9,63,67,7.0
zerbst,12.0833,51.9667,36.77,56,4,4.56
bartow,-81.8431,27.8964,62.44,88,1,3.44
diamond bar,-117.8103,34.0286,56.07,76,98,11.5
waalwijk,5.0172,51.6897,37.87,87,8,4.61
ebnat-kappel,9.1247,47.262,43.52,84,100,1.16
giulianova,13.9537,42.7612,49.57,81,40,3.44
newport,-2.9984,51.5877,38.93,82,21,13.04
pambuhan,123.0837,13.9736,83.17,60,61,8.41
yanliang,109.2292,34.6592,62.6,72,75,8.95
minolos,123.4727,10.1019,84.2,74,75,9.22
piaseczno,21.024,52.0814,37.85,75,0,6.91
prenzlau,13.8667,53.3167,38.84,61,47,1.99
bad laer,8.0833,52.1,35.71,86,20,1.14
montrouge,2.3167,48.8167,42.55,65,0,17.27
petlad,72.8,22.4667,97.45,26,2,2.3
el espino de santa rosa,-80.8167,8.1,77.02,77,83,1.28
lohfelden,9.5333,51.2667,32.45,80,20,6.91
chimichagua,-73.8123,9.2578,76.32,92,100,0.98
koceljeva,19.8117,44.4736,46.83,81,0,8.05
redlands,-117.1825,34.0556,53.58,62,75,9.22
kombissiri,-1.3375,12.0656,84.2,51,0,6.91
inzai,140.1839,35.798,63.73,20,20,12.66
poso,120.7524,-1.3959,85.77,68,78,5.7
witu,40.4382,-2.3889,85.98,64,51,9.4
zolotkovo,41.1053,55.5281,41.45,56,11,13.29
chittaurgarh,74.6333,24.8833,100.47,5,2,4.07
polovragi,23.8,45.1833,49.84,49,6,4.65
randolph,-79.8164,35.7001,48.42,93,1,5.75
servia,21.9944,40.1797,44.6,100,20,1.3
chuy,-53.4616,-33.6971,60.21,73,57,8.28
umrala,71.8167,21.8333,93.2,36,20,5.75
pilar do sul,-47.7164,-23.8131,63.84,77,94,2.68
kushuhum,35.2092,47.7144,51.4,58,0,6.71
gouyave,-61.7296,12.1646,78.8,78,20,14.97
parambu,-40.6944,-6.2111,71.11,84,84,1.79
sandusky,-83.1332,41.3501,40.51,84,71,1.01
dhupgari,89.0145,26.5858,100.29,17,1,6.78
marfil,-101.2833,21.0,75.2,41,40,6.91
canesti,26.6,45.4,40.35,79,9,1.12
rudolfov,14.5418,48.9934,35.8,76,98,4.23
agras,-8.5361,40.55,53.01,92,60,4.76
limache,-71.2667,-33.0167,53.01,80,0,1.5
zelenograd,37.1814,55.9825,39.2,65,0,17.9
kapolnasnyek,18.6756,47.24,45.05,41,84,3.0
waiuku,174.75,-37.25,60.21,67,68,12.66
nechanice,15.6328,50.2374,36.57,87,0,2.66
gadsden,-86.0066,34.0143,46.8,100,1,4.68
belize,-88.75,17.25,79.75,78,0,4.61
montbrison,4.0833,45.6667,51.4,82,0,1.14
san giovanni la punta,15.0981,37.5761,54.77,93,0,5.75
la chapelle-sur-erdre,-1.5531,47.2958,48.85,53,0,13.8
nagda,75.4167,23.45,98.73,6,4,1.97
toa alta,-66.2482,18.3883,72.48,84,8,3.78
kalabo,22.6814,-14.97,66.52,64,33,5.99
monbon,124.0189,12.7307,84.97,60,43,7.34
cimislia,28.7842,46.52,44.6,76,0,9.22
nasunogan,124.5726,11.0658,86.09,64,29,1.07
waraseoni,80.0333,21.75,103.53,6,75,1.34
buritis,-46.4233,-15.6178,76.51,59,99,0.94
salcea,26.3667,47.65,38.75,93,75,8.05
tapiobicske,19.6861,47.361,41.34,60,0,2.3
itacoatiara,-58.4442,-3.1431,73.72,98,96,2.55
zalishchyky,25.7339,48.6447,39.65,93,75,8.95
belo jardim,-36.4242,-8.3356,63.72,97,7,2.42
marsala,12.4352,37.7966,59.02,94,20,12.66
mojoagung,112.35,-7.5667,89.6,62,20,11.5
juru,100.4423,5.312,88.11,70,20,2.3
moultrie,-83.7891,31.1799,60.8,77,1,6.26
sao caetano de odivelas,-48.02,-0.75,74.3,97,89,4.88
chornobayivka,32.5537,46.6941,50.0,71,75,6.71
semily,15.3355,50.6019,32.25,67,11,5.99
zofingen,7.9459,47.2878,45.48,54,100,4.0
waihi beach,175.9333,-37.4,60.01,74,51,7.0
